"행정구역","2024년06월_계_총인구수","2024년06월_계_연령구간인구수","2024년06월_계_0~9세","2024년06월_계_10~19세","2024년06월_계_20~29세","2024년06월_계_30~39세","2024년06월_계_40~49세","2024년06월_계_50~59세","2024년06월_계_60~69세","2024년06월_계_70~79세","2024년06월_계_80~89세","2024년06월_계_90~99세","2024년06월_계_100세 이상"
"서울특별시 도봉구 창제2동(1132051200)","27,879","27,879","1,287","1,964","3,586","3,759","3,967","4,913","4,480","2,531","1,243","146","3"
"서울특별시 도봉구 창제3동(1132051300)","13,061","13,061","475","881","1,474","1,454","1,852","2,427","2,346","1,366","725","57","4"
"서울특별시 도봉구 창제4동(1132051400)","26,409","26,409","1,380","2,267","3,520","3,456","3,847","4,756","4,090","1,901","1,010","179","3"
"서울특별시 도봉구 창제5동(1132051500)","23,811","23,811","1,129","1,712","3,110","3,404","3,111","4,212","3,960","2,006","1,010","149","8"
"서울특별시 도봉구 도봉제1동(1132052100)","19,831","19,831","583","949","2,036","2,043","2,423","3,473","3,980","2,812","1,364","161","7"
"서울특별시 도봉구 도봉제2동(1132052200)","26,112","26,112","1,377","1,410","2,632","3,352","3,398","4,200","4,912","3,166","1,463","194","8"
"서울특별시 도봉구 쌍문제1동(1132066000)","20,606","20,606","852","1,391","2,721","2,344","2,703","3,700","3,528","2,060","1,171","133","3"
"서울특별시 도봉구 쌍문제2동(1132067000)","17,781","17,781","766","1,091","2,124","2,266","2,416","3,137","3,186","1,763","870","156","6"
"서울특별시 도봉구 쌍문제3동(1132068000)","16,358","16,358","643","902","2,292","2,378","2,192","2,773","2,665","1,606","824","78","5"
"서울특별시 도봉구 쌍문제4동(1132068100)","17,956","17,956","905","1,768","2,084","2,115","2,588","3,163","3,148","1,363","709","113","0"
"서울특별시 도봉구 방학제1동(1132069000)","27,433","27,433","1,095","1,998","3,405","3,035","3,644","5,051","4,963","2,776","1,313","147","6"
"서울특별시 도봉구 방학제2동(1132070000)","18,265","18,265","619","1,182","2,058","1,955","2,248","3,522","3,477","2,033","1,056","113","2"
"서울특별시 도봉구 방학제3동(1132071000)","25,951","25,951","1,411","2,505","2,703","2,822","3,636","4,475","4,810","2,254","1,091","235","9"
"서울특별시 노원구 (1135000000)","495,183","495,183","25,540","46,407","65,314","60,796","73,464","86,482","73,361","40,719","20,032","2,978","90"
"서울특별시 노원구 월계1동(1135056000)","20,389","20,389","832","1,517","3,536","2,345","2,757","3,315","3,080","1,992","903","109","3"
"서울특별시 노원구 월계2동(1135057000)","25,397","25,397","1,309","1,862","2,712","2,792","3,675","4,323","4,497","2,753","1,260","208","6"
"서울특별시 노원구 월계3동(1135058000)","28,508","28,508","1,655","1,823","3,083","4,222","4,092","4,530","4,632","2,899","1,378","188","6"
"서울특별시 노원구 공릉1동(1135059500)","35,863","35,863","1,414","2,443","6,653","4,894","4,822","5,478","5,504","3,129","1,339","181","6"
"서울특별시 노원구 공릉2동(1135060000)","41,428","41,428","2,830","4,155","6,829","5,452","6,483","6,448","5,236","2,656","1,177","160","2"
"서울특별시 노원구 하계1동(1135061100)","26,129","26,129","856","2,922","4,592","2,590","3,194","4,783","3,935","2,015","1,063","175","4"
"서울특별시 노원구 하계2동(1135061200)","21,077","21,077","1,179","2,389","2,518","2,443","3,334","3,826","2,984","1,490","798","116","0"
"서울특별시 노원구 중계본동(1135061900)","22,807","22,807","1,107","4,082","2,874","1,659","4,126","4,651","2,593","1,040","580","93","2"
"서울특별시 노원구 중계1동(1135062100)","26,255","26,255","1,655","5,187","2,721","1,837","5,645","4,967","2,533","1,055","568","84","3"
"서울특별시 노원구 중계4동(1135062400)","19,049","19,049","847","1,918","2,228","1,813","2,798","3,635","2,773","1,931","945","159","2"
"서울특별시 노원구 중계2.3동(1135062500)","32,101","32,101","1,449","2,580","3,562","3,836","4,603","5,556","4,999","3,356","1,876","277","7"
"서울특별시 노원구 상계1동(1135063000)","36,669","36,669","1,750","2,864","4,456","4,381","4,966","6,659","6,484","3,328","1,548","224","9"
"서울특별시 노원구 상계2동(1135064000)","18,993","18,993","658","1,536","2,839","2,177","2,443","3,689","3,220","1,552","766","106","7"
"서울특별시 노원구 상계3.4동(1135066500)","27,338","27,338","1,405","2,102","3,035","2,823","3,760","5,014","4,710","2,814","1,512","154","9"
"서울특별시 노원구 상계5동(1135067000)","22,786","22,786","801","1,635","2,835","2,566","2,891","4,343","3,922","2,364","1,242","180","7"
"서울특별시 노원구 상계6.7동(1135069500)","31,208","31,208","1,797","2,571","3,962","4,733","4,680","5,500","4,420","2,199","1,120","217","9"
"서울특별시 노원구 상계8동(1135070000)","21,663","21,663","1,850","1,686","2,276","4,788","3,523","3,098","2,354","1,332","647","106","3"
"서울특별시 노원구 상계9동(1135071000)","19,467","19,467","997","1,668","2,359","2,644","2,889","3,527","2,893","1,595","750","143","2"
"서울특별시 노원구 상계10동(1135072000)","18,056","18,056","1,149","1,467","2,244","2,801","2,783","3,140","2,592","1,219","560","98","3"
"서울특별시 은평구 (1138000000)","464,738","464,738","23,171","34,811","60,773","66,479","68,728","77,981","69,307","40,636","20,397","2,393","62"
"서울특별시 은평구 녹번동(1138051000)","35,875","35,875","2,009","2,093","4,416","5,599","5,295","5,820","5,421","3,319","1,690","210","3"
"서울특별시 은평구 불광제1동(1138052000)","37,519","37,519","1,763","2,340","4,711","5,408","5,129","6,374","6,072","3,499","1,967","252","4"
